time,voltage_x,voltage_y,voltage_z,velocity_x,velocity_y,velocity_z
0.05,2.929554498449,2.940465562431,2.920281752136,19.142608800484,-0.356876978838,-0.430763832202
0.1,2.928715876734,2.937678222725,2.919292221575,19.196917666611,-0.153523883051,-0.438303166452
0.15,2.932251333777,2.93251406281,2.925255253114,19.25628613858,-0.100216772279,-0.334088573616
0.2,2.927325900477,2.926052309309,2.920019504476,19.150057588226,-0.091218463884,-0.294392012988
0.25,2.937934010771,2.940677226383,2.921239504547,19.351213355848,-0.190756524224,-0.567272803249
0.3,2.937089691305,2.935635475871,2.927392205277,19.287147730733,-0.034914926958,-0.504492509639
0.35,2.942888628675,2.935677373737,2.927829449412,19.392147792859,0.165864548893,-0.396039056575
0.4,2.935255840118,2.928165617348,2.921117635124,19.268956595741,0.131996568109,-0.462223280658
0.45,2.940208283331,2.933834617001,2.921643380891,19.303771521707,0.265431404163,-0.610446405005
0.5,2.947009244495,2.928619554312,2.918974355172,19.344816731185,0.362025304115,-0.672885956798
0.55,2.947616865,2.932405070339,2.926578410174,19.41032962831,0.399198598575,-0.597029695015
0.6,2.950499705002,2.93554095949,2.925866821555,19.565126536066,0.244722320393,-0.590262904413
0.65,2.94905297284,2.930557362661,2.938903290632,19.550000934383,0.501982267449,-0.255487149015
0.7,2.945634969483,2.932374658926,2.938450527662,19.589352995655,0.324130438371,-0.018006134532
0.75,2.938613164153,2.927545947409,2.93786111173,19.423686769276,0.324918670351,-0.035810110653
0.8,2.941079273091,2.93132543306,2.935054142049,19.438634815993,0.246102252847,-0.019333885989
0.85,2.937829820295,2.926714547572,2.931595147951,19.457462473175,0.176242285402,-0.032684689207
0.9,2.944183109495,2.939893429623,2.943159937565,19.575324121558,0.156413819057,0.132936117787
0.95,2.947041345949,2.927979141904,2.941088607038,19.637267314517,0.462936603434,-0.040046963206
1.0,2.958825604905,2.931441429311,2.948183713367,19.661662436907,0.87474469486,-0.162257714059
1.05,2.95659100248,2.930093785783,2.943102095995,19.59068896342,0.814299943191,-0.130743760802
1.1,2.955871238032,2.927031362018,2.943258637769,19.615432282968,0.87624591823,-0.138316857324
1.15,2.945998184656,2.922568065844,2.942096807794,19.518714295682,0.784846165032,0.02430755685
